aaargh,https://github.com/wbolster/aaargh,f83154f16dd2e27d38c294d14672663965a05d8e
aactivator,https://github.com/Yelp/aactivator
abadge,https://github.com/Gustra/abadge,d972bf2808a632e0f95b4933ff495b3e9179556c
abagen,https://github.com/rmarkello/abagen
abci,https://github.com/davebryson/py-abci
abcmd,https://github.com/laerus/abcmd
abel,https://github.com/hunan-rostomyan/abel
abhealer,https://github.com/starofrainnight/abhealer
abodepy,https://github.com/MisterWil/abodepy
abot,https://github.com/txomon/abot
abotest,https://github.com/pypa/sampleproject
abotest1,https://github.com/pypa/sampleproject
abraham,http://github.com/ingenieroariel/abraham
abstractfactory,https://github.com/davidbetz/pyabstractfactory
ABtests,https://github.com/leodema/ABtests
abutils,https://www.github.com/briney/abutils
abzer,https://github.com/mineo/abzer
accept,http://github.com/rhyselsmore/accept
Accern,https://github.com/Accern/accern-python
access_points,https://github.com/kootenpv/access_points
accordion,https://github.com/newmediatech/accordion
ace,https://github.com/partofthething/ace
acerlinnester,https://github.com/pypa/sampleproject
aceso,http://github.com/tetraptych/aceso,4ab4eb5aa532e9cfce5b0fed53cf715087486f45
acl-anthology,https://github.com/icoxfog417/acl-anthology
acme-mgmtserver,https://github.com/mswart/acme-mgmtserver
acpi-backlight,https://github.com/fphammerle/acpi-backlight
acquantum-connector,https://github.com/carstenblank/acquantum-connector,192a4cd8862aea81786dba2974f6a7c46b8842ac
actionqueues,http://github.com/mikerhodes/actionqueues
AD20,https://github.com/CS207-AD20/cs207-FinalProject
adafruit-circuitpython-motor,https://github.com/adafruit/Adafruit_CircuitPython_Motor
adaptest,https://github.com/Edke/adaptest
adaptive-data-structures,https://github.com/dvdbisong/Adaptive-Data-Structures-SLLs-on-SLLs
adaptpath,https://github.com/darkdarkfruit/adaptpath
adcat,https://github.com/istommao/adcat
AD-cs207,https://github.com/cs207-f18-WIRS/cs207-FinalProject
adduserpath,https://github.com/ofek/userpath
adr-viewer,https://github.com/mrwilson/adr-viewer
AD-testing-packaging-CS207,https://github.com/cs207-f18-WIRS/cs207-FinalProject
advent-of-code-helpers,https://github.com/mvaal/advent-of-code-helpers,0f0d4e470659949bba886d94f119d92e57ab583a
aeneas,https://github.com/readbeyond/aeneas
Aeon,https://github.com/logicabrity/aeon
aergo-herapy,https://github.com/aergoio/herapy
aerial,https://github.com/chrisbrake/aerial
aespy,https://github.com/Starstorm3/aespy.git
affine,https://github.com/sgillies/affine
AFQ-Browser,http://github.com/yeatmanlab/AFQ-Browser
afrigis,https://github.com/chris-cmsoft/python-afrigis
agnostic-calculator,https://github.com/carawarner/calculator
agsadmin,https://github.com/DavidWhittingham/agsadmin
A.I,https://github.com/pypa/sampleproject
aif360,https://github.com/IBM/AIF360
aikit,https://github.com/societe-generale/aikit
aiko,https://github.com/zeromake/aiko
ai-maze,https://github.com/pypa/sampleproject
aimfast,https://github.com/Athanaseus/aimfast
aimlessarm,https://github.com/doc-E-brown/aimlessarm
aioambient,https://github.com/bachya/aioambient
aioapp,https://github.com/inplat/aioapp
aioapp_amqp,https://github.com/inplat/aioapp_amqp,66ff07a51e7b75b56dd54a6babd46a2861ce093c
aioapp-http,https://github.com/inplat/aioapp_http
aioapp-pg,https://github.com/inplat/aioapp_pg
aioapp-redis,https://github.com/inplat/aioapp_redis
aiobearychat,https://github.com/mozillazg/aiobearychat
aiobfd,https://github.com/netedgeplus/aiobfd
aiocaldav,https://github.com/ThomasChiroux/aiocaldav
aiochan,https://github.com/zh217/aiochan
aioChatbase,https://github.com/Olegt0rr/aioChatbase
aiocron,https://github.com/gawel/aiocron/
aiodataloader,https://github.com/syrusakbary/aiodataloader
aiodinweb,https://github.com/python-odin/aiodinweb
aiodownload,https://github.com/jelloslinger/aiodownload
aio-dprcon,https://github.com/nsavch/aio_dprcon
aiofile,http://github.com/mosquito/aiofile
aiofile-linux,https://github.com/isac322/aiofile_linux
